"Garfield Co. Food Bank","TEFAP","10/18/2000","BMAC","PASTA:4:84,TOM.SAUCE:2:54,APRICOTS:2:54,SALMON:2:54,PEANUT BUTTER:4:62,APPLE JUICE:4:176","0","484",,,,,"99034603"
"Garfield Co. Food Bank","EFAP","10/18/2000","BMAC","Cereal Special K:4:60,Paper Products-t.p.:1:35,Salvage Fruit & Veg:4:160,Salvage Protein:4:160,Salvage Misc.:4:160,Cheese Nips:3:18,AFF Asp.:3:82.5,Graham Crackers:1:13,Snack Sticks:10:30,Juice; Sunny Delight:3:96,Stroganoff:4:36,Formula Enfamil:15:15,AFF lg. Corn:2:25.5","0","891",,,,,"881339823"
"7","TEFAP","10/17/2000","Customer","STEW:4:84,TOM.SAUCE:2:54,TUNA:2:45.6,MACARONI:2:50,PEANUT BUTTER:4:62,APPLE JUICE:2:88","0","383.6",,,,,"109595340"
"Christian Aid","Other","10/17/2000","Customer","Dairy:4:160","0","160",,,,,"903957257"
"7","Other","10/17/2000","Customer","Dairy:4:160","0","160",,,,,"191000300"
"Salvation Army","EFAP","10/17/2000","Customer","Dairy:5:200,Fresh Vegetables:1:20","0","220",,,,,"243129754"
"Helpline","EFAP","10/24/2000","BMAC","1:2:82,F.D. Chili/Beans:2:60,AFF  sm. Peas:2:14,F.D. Dry Goods:2:80,Fresh Fruit:6:120,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,F.D. Soup:1:60,Cereal Looney Tunes:3:63,Cheese Nips:5:30,Mac & Cheese:1:42,Stroganoff:2:18,Formula Enfamil:10:10,Miracle Whip:1:39,Peanuts:1:27,Juice; Citrus Punch:2:30,F.D. Mix Vegs:1:60","0","827",,,,,"642647903"
"Salvation Army","EFAP","10/26/2000","BMAC","Rice #50:1:50","0.21","50",,,,,"483850285"
"Pantry Shelf","EFAP","10/24/2000","BMAC","F.D. Corn:2:120,F.D. Beans:2:120,F.D. Peas:1:60,F.D. Chili/Beans:2:120,F.D. Dry Goods:6:240,Fresh Fruit:7:160,F.D. Glass:1:60,Paper Products-t.p.:1:35,Pasta:3:63,Cereal Looney Tunes:2:42,Tuna.:1:27,Miss Mud:2:40,Juice; Sunny Delight:3:96,Formula Enfamil:10:10,Miracle Whip:1:39,Peanuts:1:32,F.D. Mix Vegs:2:120,Ritz Crackers:2:30","0","1414",,,,,"491307747"
"Salvation Army","EFAP","10/24/2000","BMAC","F.D. Corn:2:120,F.D. Beans:2:120,4:2:120,F.D. Peas:1:60,F.D. Chili/Beans:2:120,F.D. Dry Goods:6:240,Fresh Fruit:7:160,F.D. Glass:1:60,Paper Products-t.p.:1:35,Pasta:3:63,Cereal Looney Tunes:2:42,Tuna.:1:27,Mac & Cheese:1:42,Miss Mud:2:40,Juice; Sunny Delight:3:96,Formula Enfamil:10:10,Miracle Whip:1:39,Peanuts:1:32,Ritz Crackers:3:45","0","1471",,,,,"4987908"
"St. Vincent of Walla Walla","EFAP","10/24/2000","BMAC","F.D. Corn:2:120,F.D. Beans:2:120,AFF  sm. Peas:2:14,F.D. Dry Goods:6:240,Fresh Fruit:7:160,F.D. Glass:1:60,Paper Products-t.p.:1:35,Pasta:3:63,F.D. Prepared:2:120,Cereal Looney Tunes:2:42,Cheese Nips:3:63,Tuna.:1:27,Mac & Cheese:1:42,Miss Mud:2:40,Juice; Sunny Delight:3:96,Formula Enfamil:10:10,Miracle Whip:1:39,Peanuts:1:32","0","1323",,,,,"551016326"
"Salvation Army","EFAP","10/20/2000","BMAC","Fresh Fruit:6:194","0","194",,,,,"740117939"
"Salvation Army","TEFAP","10/24/2000","BMAC","Fresh Fruit:8:360,TOM.SAUCE:6:162,APRICOTS:6:162,TUNA:6:136,SPAGHETTI:12:320.4,VEG. BEANS:6:169.2,WALNUTS:6:162","0","1471.6",,,,,"47540749"
"St. Vincent of Walla Walla","TEFAP","10/24/2000","BMAC","Fresh Fruit:8:360,TOM.SAUCE:6:162,APRICOTS:6:162,TUNA:6:136,SPAGHETTI:12:320.4,VEG. BEANS:6:169.2,WALNUTS:6:162","0","1471.6",,,,,"17349958"
"Helpline","TEFAP","10/24/2000","BMAC","TOM.SAUCE:2:54,APRICOTS:2:54,TUNA:2:45.6,SPAGHETTI:4:104,VEG. BEANS:2:56.4,WALNUTS:2:51.6","0","365.6",,,,,"944127568"
"Christian Aid","Other","10/25/2000","Customer","Dairy:3:120","0","120",,,,,"668588001"
"7","Other","10/25/2000","Customer","Dairy:1:40,Fresh Fruit:4:80","0","120",,,,,"510557332"
"BMAC Gleaners","Other","10/25/2000","Customer","Fresh Fruit:2:1618","0","1618",,,,,"547022686"
"Walla Walla TFAP","TEFAP","10/27/2000","BMAC","Fresh Fruit:5:225,STEW:5:105,PASTA:4:84,APP.SAUCE:2:60,APRICOTS:2:54,PORK:2:104","0","632",,,,,"203441466"
"Asotin Co. Food Bank","TEFAP","01/11/2000","BMAC","Fresh Fruit:13:585,INSTANT MILK:24:672,PEANUT BUTTER:8:124,APPLE JUICE:16:704,WALNUTS:7:180.6,CORN:7:194.25,GROUND SAUSAGE:12:432","0","2891.85",,,,,"376139301"
"24","TEFAP","01/11/2000","BMAC","Fresh Fruit:14:630,CORN CEREAL:3:57.75,INSTANT MILK:25:700,WALNUTS:5:129,CORN:6:166.5,GROUND SAUSAGE:12:432,CHILI:8:224","0","2339.25",,,,,"270372137"
"Asotin Co. Food Bank","EFAP","01/11/2000","BMAC","Cereal Special K:2:30,Saltines:4:60,Pasta:6:126,Salvage Grain:8:320,Salvage Fruit & Veg:8:320,Salvage Protein:8:320,Salvage Misc.:8:320,Cereal Looney Tunes:4:124,Cheese Nips:6:24,AFF Asp.:6:168,Miracle Whip:1:39,AFF lg. Corn:2:25.5","0","1876.5",,,,,"223442810"
"24","EFAP","01/11/2000","BMAC","Saltines:4:60,Pasta:6:126,Salvage Grain:6:240,Salvage Fruit & Veg:6:240,Salvage Protein:6:240,Salvage Misc.:6:240,Cereal Looney Tunes:4:124,Cheese Nips:6:24,AFF Asp.:6:168,Miracle Whip:1:39,AFF lg. Corn:2:25.5","0","1526.5",,,,,"306097669"
"7","Other","10/31/2000","Customer","Dairy:2:80","0","80",,,,,"860159944"
"St. Vincent of Walla Walla","EFAP","10/31/2000","Customer","Dairy:2:80,Fresh Fruit:1:80","0","160",,,,,"382506746"
"Christian Aid","Other","10/31/2000","Customer","Dairy:6:240","0","240",,,,,"332053927"
"Salvation Army","EFAP","10/31/2000","Customer","Dairy:5:200,Fresh Vegetables:2:35","0","235",,,,,"512749426"
"Pantry Shelf","EFAP","11/01/2000","Customer","Cereal Special K:1:30,Cereal Honey Crunch:1:24","0","54",,,,,"567585381"
"Pantry Shelf","EFAP FB","11/01/2000","Customer","Oatmeal #50:1:50","0.27","50",,,,,"299678656"
"Pantry Shelf","EFAP FB","11/01/2000","Customer","Beans #50:1:50","0.26","50",,,,,"795637168"
"BMAC Gleaners","Other","10/17/2000","Customer","Fresh Vegetables:2:2000","0","2000",,,,,"79149904"
"Asotin Co. Food Bank","EFAP","01/04/2000","BMAC","Fresh Vegetables:1:2000","0","2000",,,,,"8838043"
"24","EFAP","01/04/2000","BMAC","Fresh Vegetables:2:2000","0","2000",,,,,"806740531"
"Juvenile Center","Other","11/03/2000","Customer",,"0.15","0",,,,,"7188560"
